id,y_true,y_pred,absolute_error
1735914502.267462,90.0,107.40466927938449,17.404669279384493
1735914512.297309,219.0,146.64621068299425,72.35378931700575
1735914522.342349,118.0,103.07517946162145,14.924820538378555
1735914532.387552,107.0,179.4757100182437,72.47571001824369
1735914542.433096,245.0,252.44934851788327,7.449348517883266
1735914552.470992,150.0,203.05474761178715,53.05474761178715
1735914562.507656,332.0,220.67545196365336,111.32454803634664
1735914572.534287,124.0,135.6769451743506,11.676945174350607
1735914582.563498,113.0,157.03563376066268,44.03563376066268
1735914592.60893,272.0,192.3231712969038,79.67682870309619
1735914602.646781,198.0,206.76300554728022,8.763005547280216
1735914612.670465,241.0,191.89381752873845,49.10618247126155
1735914622.694272,162.0,125.04038426672948,36.959615733270525
1735914632.723124,57.0,53.448190149696785,3.551809850303215
1735914642.762817,182.0,139.10774390151153,42.892256098488474
1735914652.786705,91.0,174.51439575889137,83.51439575889137
1735914662.809627,222.0,198.0646071828846,23.9353928171154
1735914672.833294,92.0,77.82801050381923,14.171989496180771
1735914682.852038,259.0,158.27612807711105,100.72387192288895
1735914692.878897,281.0,235.1809080817156,45.819091918284414
